DataSetId,GroupNumber,LowerValue,MeasureCode,PeerGroupCode,PeerGroupName,PeerGroupTypeCode,PeerGroupTypeName,ProxyReportingUnitCode,ProxyReportingUnitName,ProxyReportingUnitTypeCode,ProxyReportingUnitTypeName,ReportedMeasureCode,ReportingUnitCode,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,UpperValue,Value,Caveats,Suppressions
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0013,Justice Health Services,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0014,The Children's Hospital at Westmead,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0015,Sydney Children's Hospital,H,Hospital,,,"[{""CaveatCode"":""X01"",""CaveatDisplayValue"":""<5"",""CaveatFootnote"":null,""CaveatName"":""too few""}]","[{""SuppressionCode"":""X01"",""SuppressionDisplayValue"":""<5"",""SuppressionFootnote"":null,""SuppressionName"":""too few""}]"
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0017,St Vincent's Hospital [Darlinghurst],H,Hospital,,96.0,,
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0019,Balmain Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0020,Canterbury Hospital,H,Hospital,,472.0,,
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0021,Royal Prince Alfred Hospital,H,Hospital,,121.0,,
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0023,Concord Repatriation Hospital,H,Hospital,,584.0,,
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,H,Hospital,,1603.0,,
10320,,,MYH0018,,,,,,,,,MYH-RM0185,H0026,Camden Hospital,H,Hospital,,,"[{""CaveatCode"":""X40"",""CaveatDisplayValue"":""NP"",""CaveatFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""CaveatName"":""too few patients""}]","[{""SuppressionCode"":""X40"",""SuppressionDisplayValue"":""NP"",""SuppressionFootnote"":""Reported data did not meet the criteria to calculate this indicator."",""SuppressionName"":""too few patients""}]"
