DataSetId,GroupNumber,LowerValue,MeasureCode,PeerGroupCode,PeerGroupName,PeerGroupTypeCode,PeerGroupTypeName,ProxyReportingUnitCode,ProxyReportingUnitName,ProxyReportingUnitTypeCode,ProxyReportingUnitTypeName,ReportedMeasureCode,ReportingUnitCode,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,UpperValue,Value,Caveats,Suppressions
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0014,The Children's Hospital at Westmead,H,Hospital,,51518.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0015,Sydney Children's Hospital,H,Hospital,,37963.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0017,St Vincent's Hospital [Darlinghurst],H,Hospital,,44485.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0020,Canterbury Hospital,H,Hospital,,37022.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0021,Royal Prince Alfred Hospital,H,Hospital,,70357.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0023,Concord Repatriation Hospital,H,Hospital,,36072.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0026,Camden Hospital,H,Hospital,,12549.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0027,Fairfield Hospital,H,Hospital,,33307.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0028,Liverpool Hospital,H,Hospital,,69741.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0029,Campbelltown Hospital,H,Hospital,,58511.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0030,Bankstown Lidcombe Hospital,H,Hospital,,46165.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0032,Bowral Hospital,H,Hospital,,17505.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0033,Sydney Hospital / Sydney Eye Hospital,H,Hospital,,38347.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0037,Prince of Wales Hospital,H,Hospital,,50937.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0038,St George Hospital NSW,H,Hospital,,66484.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0039,Sutherland Hospital,H,Hospital,,47928.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0041,Bulli Hospital,H,Hospital,,7101.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0044,Milton Ulladulla Hospital,H,Hospital,,14411.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0046,Shoalhaven Hospital,H,Hospital,,36879.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0047,Wollongong Hospital,H,Hospital,,56765.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0048,Shellharbour Hospital,H,Hospital,,26953.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0051,Auburn Hospital,H,Hospital,,25480.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0052,Blacktown Hospital,H,Hospital,,36877.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0053,Mount Druitt Hospital,H,Hospital,,32681.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0054,Westmead Hospital,H,Hospital,,60464.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0055,Blue Mountains Hospital,H,Hospital,,17123.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0056,Nepean Hospital,H,Hospital,,58790.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0058,Hawkesbury Hospital,H,Hospital,,21227.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0061,Lithgow Hospital,H,Hospital,,13019.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0065,Hornsby Ku-ring-gai Hospital,H,Hospital,,34226.0,,
46,,,MYH0012,,,,,,,,,MYH-RM0023,H0066,Manly Hospital,H,Hospital,,24277.0,,
