ReportedMeasureName,ReportedMeasureCode
Breast cancer,MYH-RM0001
Bowel cancer,MYH-RM0002
Lung cancer,MYH-RM0003
Breast cancer,MYH-RM0004
Bowel cancer,MYH-RM0005
Lung cancer,MYH-RM0006
Breast cancer,MYH-RM0007
Bowel cancer,MYH-RM0008
Lung cancer,MYH-RM0009
Breast cancer,MYH-RM0010
Bowel cancer,MYH-RM0011
Lung cancer,MYH-RM0012
Resuscitation,MYH-RM0025
Emergency,MYH-RM0026
Urgent,MYH-RM0027
Semi-Urgent,MYH-RM0028
Non-Urgent,MYH-RM0029
All patients,MYH-RM0023
Resuscitation,MYH-RM0030
Emergency,MYH-RM0031
Urgent,MYH-RM0032
Semi-Urgent,MYH-RM0033
Non-Urgent,MYH-RM0034
Resuscitation,MYH-RM0035
Emergency,MYH-RM0036
Urgent,MYH-RM0037
Semi-Urgent,MYH-RM0038
Non-Urgent,MYH-RM0039
All patients,MYH-RM0015
Resuscitation,MYH-RM0017
Emergency,MYH-RM0018
Urgent,MYH-RM0019
Semi-Urgent,MYH-RM0020
Non-Urgent,MYH-RM0021
Subsequently admitted patients,MYH-RM0014
Not subsequently admitted patients,MYH-RM0016
Subsequently admitted patients,MYH-RM0013
Subsequently admitted patients,MYH-RM0022
Not subsequently admitted patients,MYH-RM0024
Cardio-thoracic surgery,MYH-RM0050
Cardio-thoracic surgery,MYH-RM0102
"Ear, nose and throat surgery",MYH-RM0052
"Ear, nose and throat surgery",MYH-RM0104
General surgery,MYH-RM0059
General surgery,MYH-RM0111
Gynaecology,MYH-RM0063
Gynaecology,MYH-RM0115
Neurosurgery,MYH-RM0065
Neurosurgery,MYH-RM0117
Ophthalmology,MYH-RM0057
Ophthalmology,MYH-RM0109
Orthopaedic surgery,MYH-RM0066
Orthopaedic surgery,MYH-RM0118
Plastic surgery,MYH-RM0070
Plastic surgery,MYH-RM0122
Urology,MYH-RM0071
Urology,MYH-RM0123
Vascular surgery,MYH-RM0074
Vascular surgery,MYH-RM0126
Other surgery,MYH-RM0069
Other surgery,MYH-RM0121
Cataract extraction (with or without intra-ocular lens insertion),MYH-RM0058
Cataract extraction (with or without intra-ocular lens insertion),MYH-RM0110
Cholecystectomy (open/laparoscopic),MYH-RM0060
Cholecystectomy (open/laparoscopic),MYH-RM0112
Coronary artery bypass grafting,MYH-RM0051
Coronary artery bypass grafting,MYH-RM0103
Cystoscopy,MYH-RM0072
Cystoscopy,MYH-RM0124
Haemorrhoidectomy,MYH-RM0061
Haemorrhoidectomy,MYH-RM0113
Hysterectomy (abdominal/vaginal/laparoscopic),MYH-RM0064
Hysterectomy (abdominal/vaginal/laparoscopic),MYH-RM0116
Inguinal herniotomy/herniorrhaphy,MYH-RM0062
Inguinal herniotomy/herniorrhaphy,MYH-RM0114
Myringoplasty/tympanoplasty,MYH-RM0053
Myringoplasty/tympanoplasty,MYH-RM0105
Myringotomy,MYH-RM0054
Myringotomy,MYH-RM0106
Prostatectomy (transurethral or open),MYH-RM0073
Prostatectomy (transurethral or open),MYH-RM0125
Septoplasty,MYH-RM0055
Septoplasty,MYH-RM0107
Tonsillectomy (with or without adenoidectomy),MYH-RM0056
Tonsillectomy (with or without adenoidectomy),MYH-RM0108
Total hip replacement,MYH-RM0067
Total hip replacement,MYH-RM0119
Total knee replacement,MYH-RM0068
Total knee replacement,MYH-RM0120
Varicose veins treatment,MYH-RM0075
Varicose veins treatment,MYH-RM0127
Urgent elective surgery,MYH-RM0047
Urgent elective surgery,MYH-RM0040
Semi-urgent elective surgery,MYH-RM0048
Semi-urgent elective surgery,MYH-RM0041
Non-urgent elective surgery,MYH-RM0049
Non-urgent elective surgery,MYH-RM0042
Cardio-thoracic surgery,MYH-RM0076
"Ear, nose and throat surgery",MYH-RM0078
General surgery,MYH-RM0085
Gynaecology,MYH-RM0089
Neurosurgery,MYH-RM0091
Ophthalmology,MYH-RM0083
Orthopaedic surgery,MYH-RM0092
Plastic surgery,MYH-RM0096
Urology,MYH-RM0097
Vascular surgery,MYH-RM0100
Other surgery,MYH-RM0095
Cataract extraction (with or without intra-ocular lens insertion),MYH-RM0084
Cholecystectomy (open/laparoscopic),MYH-RM0086
