,0
0,Breast cancer
1,Bowel cancer
2,Lung cancer
3,Resuscitation
4,Emergency
5,Urgent
6,Semi-Urgent
7,Non-Urgent
8,All patients
9,Subsequently admitted patients
10,Not subsequently admitted patients
11,Cardio-thoracic surgery
12,"Ear, nose and throat surgery"
13,General surgery
14,Gynaecology
15,Neurosurgery
16,Ophthalmology
17,Orthopaedic surgery
18,Plastic surgery
19,Urology
20,Vascular surgery
21,Other surgery
22,Cataract extraction (with or without intra-ocular lens insertion)
23,Cholecystectomy (open/laparoscopic)
24,Coronary artery bypass grafting
25,Cystoscopy
26,Haemorrhoidectomy
27,Hysterectomy (abdominal/vaginal/laparoscopic)
28,Inguinal herniotomy/herniorrhaphy
29,Myringoplasty/tympanoplasty
30,Myringotomy
31,Prostatectomy (transurethral or open)
32,Septoplasty
33,Tonsillectomy (with or without adenoidectomy)
34,Total hip replacement
35,Total knee replacement
36,Varicose veins treatment
37,Urgent elective surgery
38,Semi-urgent elective surgery
39,Non-urgent elective surgery
40,Appendix removal
41,Cellulitis
42,Chronic obstructive pulmonary disease (with complications)
43,Chronic obstructive pulmonary disease (without complications)
44,Gall bladder removal
45,Heart failure (with complications)
46,Heart failure (without complications)
47,Kidney and urinary tract infection (with complications)
48,Kidney and urinary tract infection (without complications)
49,Prostate removal
50,Caesarean delivery
51,Vaginal delivery
52,Reconstructive gynaecological surgery
53,Hysterectomy
54,All staphylococcus aureus
55,Medical (emergency)
56,Medical (non-emergency)
57,Childbirth
58,Mental health
59,Surgical (emergency)
60,Surgical (non-emergency)
61,Total
62,Methicillin-sensitive staphylococcus aureus
63,Methicillin-resistant staphylococcus aureus
64,Abdominal or thoracic aortic aneurysm - repair/replacement
65,Acromioplasty/arthroscopy shoulder/sub acromial decompression
66,Adenoidectomy
67,Amputation of limb
68,Anal fissure - repair of
69,Anterior cruciate ligament reconstruction
70,Arthrodesis
71,Arthroplasty - revision of
72,Arthroscopy
73,Axillary node dissection
74,Bartholin's abscess drainage
75,Bartholin's cyst - removal of
76,Bladder neck incision
77,Blepharoplasty
78,Branchial apparatus remnant - removal of
79,Breast lump - excision and/or biopsy
80,Breast prosthesis - removal of
81,Breast reconstruction
82,Breast reduction
83,Bunion (hallux valgus) - removal of
84,Carotid endarterectomy
85,Carpal tunnel release
86,Cerebral haematoma - evacuation of
87,Cervical discectomy and fusion
88,Chalazion - excision of
89,Chiari malformation decompression
90,Circumcision
91,Cleft lip and palate - repair of
92,Colectomy/anterior resection/large bowel resection
93,Common peroneal nerve release
94,Cone biopsy
95,Congenital cardiac defect/s - procedure for
96,Congenital pulmonary lesion - removal of
97,Corneal graft
98,Cranioplasty
99,Craniotomy
100,Curettage and evacuation of uterus
101,Cystectomy
102,Dacryocystorhinostomy
103,Dermoid cyst - removal of
104,Dialysis access surgery
105,Diathermy of wart/s
106,Discectomy
107,Dupytren's contracture release
108,Ectropion - correction of
109,Endometrial ablation
110,Epididymal cyst - removal of
111,Ethmoidectomy
112,Examination of eye under anaesthesia
113,Exostosis - excision of
114,Female sterilisation
115,Femoro-popliteal bypass graft
116,Fracture non-union - treatment of
117,Functional endoscopic sinus surgery
118,Fundoplication
119,Ganglion - excision of
120,Hammer/claw/mallet toe - correction of
121,Heart valve replacement
122,Herniorrhaphy
123,Hydrocele - repair of
124,Hypospadias - repair of
125,"Hysteroscopy, dilatation and curettage"
126,Insertion of ventricular peritoneal shunt
127,Laminectomy
128,Laparoscopy
129,Large loop excision of the transformation zone cervix (LLETZ)
130,Laryngectomy
131,Lingual or maxillary frenulum surgery
132,Lithotripsy
133,Lobectomy/wedge resection/pneumonectomy
134,Lymphangioma - surgery for
135,Mastectomy
136,Mastoidectomy
137,Meatoplasty
138,Meniscectomy
139,Microlaryngoscopy
140,Muscle biopsy/temporal artery biopsy
141,Muscle or tendon length - change of
142,Myomectomy
143,Nasal cautery
144,Nasal polypectomy
145,Nasendoscopy
146,Nephrectomy
147,Nerve decompression
148,Nerve decompression of spinal cord
149,Orchidectomy
150,Orchidopexy
151,Osteotomy
152,Parathyroidectomy
153,Parotidectomy/submandibular gland - excision of
154,Pectus surgery
155,Pedicle screw fusion
156,Pharyngoplasty
157,Pharynx - excision of
158,Pilonidal sinus surgery
159,Pleurodesis
160,Posterior fossa decompression
161,Probing of naso-lacrimal duct
162,Procedure for strabismus (squint repair)
163,Prostate biopsy
164,Pterygium - excision of
165,Ptosis - repair of
166,Pyeloplasty/correction of ureteropelvic junction
167,Pyogenic granuloma - removal of
168,Radical neck dissection
169,Repair of obstructing hiatus hernia
170,Replacement of aortic aneurysm with bifurcation graft
171,Removal of intracranial lesion
172,Rhinoplasty
173,Rotator cuff - repair of
174,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy
175,Scar revision
176,Shoulder joint replacement
177,Shoulder reconstruction
178,Skin lesion - excision of
179,Stapedectomy
180,Stone/s urinary tract - removal of
181,Stress incontinence surgery
182,Sub-mucosal resection
183,Tendon release
184,Tenotomy of hip
185,Thyroglossal remnant - removal of
186,Thyroidectomy/hemi-thyroidectomy
187,Toenail surgery
188,Trabeculectomy
189,Trigger finger/thumb release
190,Turbinectomy
191,Untethering of spinal cord
192,Ureteric - reimplantation
193,Ureteric stent - insertion of
194,Urethra - dilatation of
195,Vaginal repair - anterior/posterior
196,Vitrectomy (including buckling/cryotherapy)
197,Paediatric surgery
198,Other acute (emergency)
199,Other acute (non-emergency)
200,Rehabilitation
201,Palliative
202,Other subacute and non-acute
203,Acute admitted patients
204,Cost per NWAU Comparison to Peer Average
205,Obstetric services
206,Paediatric service
207,Psychiatric unit
208,Intensive care unit
209,Hospice care unit
210,Nursing home care unit
211,Geriatric assessment unit
212,Domiciliary care service
213,Alcohol and drug unit
214,Acute spinal cord injury unit
215,Coronary care unit
216,Cardiac surgery unit
217,Acute renal dialysis unit
218,Maintenance renal dialysis unit
219,Burns unit
220,Major plastic or reconstructive surgery unit
221,Oncology unit
222,Neonatal intensive care unit
223,In-vitro fertilisation unit
224,Epilepsy centre
225,Bone marrow transplantation unit
226,Renal transplantation unit
227,Heart transplantation unit
228,Liver transplantation unit
229,Pancreas transplantation unit
230,Clinical genetics unit
231,Sleep centre
232,Neurosurgical unit
233,Infectious diseases unit
234,AIDS unit
235,Diabetes unit
236,Rehabilitation unit
237,Myringotomy (without insertion of grommets)
238,Pressure equalising tubes (grommets) - insertion of
239,Neonatal surgery
240,All audited moments
241,Other procedure
242,Clinical pharmacology and/or toxicology service
