DataSetId,GroupNumber,LowerValue,MeasureCode,PeerGroupCode,PeerGroupName,PeerGroupTypeCode,PeerGroupTypeName,ProxyReportingUnitCode,ProxyReportingUnitName,ProxyReportingUnitTypeCode,ProxyReportingUnitTypeName,ReportedMeasureCode,ReportingUnitCode,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,UpperValue,Value,Caveats,Suppressions
9620,,,MYH0014,U,Unpeered,PG,Peer Group,,,,,MYH-RM0173,H0013,Justice Health Services,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
9620,,,MYH0014,CH,Children's hospitals,PG,Peer Group,,,,,MYH-RM0173,H0014,The Children's Hospital at Westmead,H,Hospital,,2.5,,
9620,,,MYH0014,CH,Children's hospitals,PG,Peer Group,,,,,MYH-RM0173,H0015,Sydney Children's Hospital,H,Hospital,,2.3,,
9620,,,MYH0014,MJ,Major hospitals,PG,Peer Group,,,,,MYH-RM0173,H0017,St Vincent's Hospital [Darlinghurst],H,Hospital,,1.7,,
9620,,,MYH0014,U,Unpeered,PG,Peer Group,,,,,MYH-RM0173,H0019,Balmain Hospital,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
9620,,,MYH0014,M,Medium hospitals,PG,Peer Group,,,,,MYH-RM0173,H0020,Canterbury Hospital,H,Hospital,,2.0,,
9620,,,MYH0014,MJ,Major hospitals,PG,Peer Group,,,,,MYH-RM0173,H0021,Royal Prince Alfred Hospital,H,Hospital,,2.0,,
9620,,,MYH0014,MJ,Major hospitals,PG,Peer Group,,,,,MYH-RM0173,H0023,Concord Repatriation Hospital,H,Hospital,,2.2,,
9620,,,MYH0014,U,Unpeered,PG,Peer Group,,,,,MYH-RM0173,H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
9620,,,MYH0014,U,Unpeered,PG,Peer Group,,,,,MYH-RM0173,H0026,Camden Hospital,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
9620,,,MYH0014,M,Medium hospitals,PG,Peer Group,,,,,MYH-RM0173,H0027,Fairfield Hospital,H,Hospital,,2.2,,
9620,,,MYH0014,MJ,Major hospitals,PG,Peer Group,,,,,MYH-RM0173,H0028,Liverpool Hospital,H,Hospital,,2.3,,
9620,,,MYH0014,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0173,H0029,Campbelltown Hospital,H,Hospital,,2.5,,
9620,,,MYH0014,L,Large hospitals,PG,Peer Group,,,,,MYH-RM0173,H0030,Bankstown Lidcombe Hospital,H,Hospital,,2.1,,
9620,,,MYH0014,M,Medium hospitals,PG,Peer Group,,,,,MYH-RM0173,H0032,Bowral Hospital,H,Hospital,,2.0,,
9620,,,MYH0014,M,Medium hospitals,PG,Peer Group,,,,,MYH-RM0173,H0033,Sydney Hospital / Sydney Eye Hospital,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
9620,,,MYH0014,U,Unpeered,PG,Peer Group,,,,,MYH-RM0173,H0034,Calvary Health Care - Sydney,H,Hospital,,,"[{""CaveatCode"":""X39"",""CaveatDisplayValue"":""-"",""CaveatFootnote"":""There were no patients reported for this indicator in this time period."",""CaveatName"":""no patients""}]","[{""SuppressionCode"":""X39"",""SuppressionDisplayValue"":""-"",""SuppressionFootnote"":""There were no patients reported for this indicator in this time period."",""SuppressionName"":""no patients""}]"
