DataSetId,DataSetName,MeasureCode,MeasureName,ReportedMeasureCode,ReportedMeasureName,ReportingEndDate,ReportingStartDate
1,CANCER 2011-12 - Median waiting time for surgery for malignant cancer,MYH0002,Median waiting time for surgery for malignant cancer,MYH-RM0001,Breast cancer,2012-06-30,2011-07-01
2,CANCER 2011-12 - Median waiting time for surgery for malignant cancer,MYH0002,Median waiting time for surgery for malignant cancer,MYH-RM0002,Bowel cancer,2012-06-30,2011-07-01
3,CANCER 2011-12 - Median waiting time for surgery for malignant cancer,MYH0002,Median waiting time for surgery for malignant cancer,MYH-RM0003,Lung cancer,2012-06-30,2011-07-01
4,CANCER 2011-12 - Number of surgeries for malignant cancer,MYH0001,Number of surgeries for malignant cancer,MYH-RM0004,Breast cancer,2012-06-30,2011-07-01
5,CANCER 2011-12 - Number of surgeries for malignant cancer,MYH0001,Number of surgeries for malignant cancer,MYH-RM0005,Bowel cancer,2012-06-30,2011-07-01
6,CANCER 2011-12 - Number of surgeries for malignant cancer,MYH0001,Number of surgeries for malignant cancer,MYH-RM0006,Lung cancer,2012-06-30,2011-07-01
7,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 30 days,MYH0003,Percentage of people who received surgery for malignant cancer within 30 days,MYH-RM0007,Breast cancer,2012-06-30,2011-07-01
8,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 30 days,MYH0003,Percentage of people who received surgery for malignant cancer within 30 days,MYH-RM0008,Bowel cancer,2012-06-30,2011-07-01
9,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 30 days,MYH0003,Percentage of people who received surgery for malignant cancer within 30 days,MYH-RM0009,Lung cancer,2012-06-30,2011-07-01
10,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 45 days,MYH0004,Percentage of people who received surgery for malignant cancer within 45 days,MYH-RM0010,Breast cancer,2012-06-30,2011-07-01
11,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 45 days,MYH0004,Percentage of people who received surgery for malignant cancer within 45 days,MYH-RM0011,Bowel cancer,2012-06-30,2011-07-01
12,CANCER 2011-12 - Percentage of people who received surgery for malignant cancer within 45 days,MYH0004,Percentage of people who received surgery for malignant cancer within 45 days,MYH-RM0012,Lung cancer,2012-06-30,2011-07-01
41,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0025,Resuscitation,2013-06-30,2012-07-01
42,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0026,Emergency,2013-06-30,2012-07-01
43,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0027,Urgent,2013-06-30,2012-07-01
44,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0028,Semi-Urgent,2013-06-30,2012-07-01
45,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0029,Non-Urgent,2013-06-30,2012-07-01
46,ED-TIME 2012-13 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0023,All patients,2013-06-30,2012-07-01
47,ED-WAITS 2012-13 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0030,Resuscitation,2013-06-30,2012-07-01
48,ED-WAITS 2012-13 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0031,Emergency,2013-06-30,2012-07-01
49,ED-WAITS 2012-13 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0032,Urgent,2013-06-30,2012-07-01
50,ED-WAITS 2012-13 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0033,Semi-Urgent,2013-06-30,2012-07-01
51,ED-WAITS 2012-13 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0034,Non-Urgent,2013-06-30,2012-07-01
52,ED-WAITS 2012-13 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0035,Resuscitation,2013-06-30,2012-07-01
53,ED-WAITS 2012-13 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0036,Emergency,2013-06-30,2012-07-01
54,ED-WAITS 2012-13 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0037,Urgent,2013-06-30,2012-07-01
55,ED-WAITS 2012-13 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0038,Semi-Urgent,2013-06-30,2012-07-01
56,ED-WAITS 2012-13 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0039,Non-Urgent,2013-06-30,2012-07-01
57,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0015,All patients,2013-06-30,2012-07-01
58,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0017,Resuscitation,2013-06-30,2012-07-01
59,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0018,Emergency,2013-06-30,2012-07-01
60,ED-TIME 2012-13 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0019,Urgent,2013-06-30,2012-07-01
